Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_EMA(C,9)","Exit_EMA(C,9)","Entry_EMA(C,21)","Exit_EMA(C,21)","Entry_ATR(H,L,C,3)","Exit_ATR(H,L,C,3)"
-2,594,601,460.0,485.45,505.1729313884028,,-50.89999999999998,-0.05532608695652175,2006-12-27,2007-01-09,13 days,,465.99472360489284,476.7795764677448,472.6370972431358,475.0130279418884,8.836038345635819,9.031459948898673
-4,595,601,467.12,485.45,515.6729313884027,,-73.31999999999994,-0.039240452132214276,2006-12-28,2007-01-09,12 days,,465.3077788839143,476.7795764677448,471.72099749375985,475.0130279418884,8.000692230423875,9.031459948898673
-8,596,601,462.1,485.45,510.2029313884028,,-186.79999999999973,-0.050530188270937026,2006-12-29,2007-01-09,11 days,,464.3422231071314,476.7795764677448,470.69908863069077,475.0130279418884,6.870461486949254,9.031459948898673
1,602,620,484.43,468.1,440.34270025550666,,-16.329999999999984,-0.03370972070268152,2007-01-10,2007-02-06,27 days,,479.31566117419584,482.16827923359125,476.3263890380804,484.60972569514433,9.857639965932446,10.969897417096155
2,610,620,480.79,468.1,435.68270025550663,,-25.379999999999995,-0.026394059776617684,2007-01-23,2007-02-06,14 days,,487.02400742582296,482.16827923359125,484.1829652896818,484.60972569514433,9.285852130967623,10.969897417096155
4,611,620,484.45,468.1,433.89270025550667,,-65.39999999999986,-0.03374961296315404,2007-01-24,2007-02-06,13 days,,489.43320594065835,482.16827923359125,485.53633208152894,484.60972569514433,13.020568087311752,10.969897417096155
8,618,620,482.61,468.1,436.59270025550666,,-116.07999999999993,-0.030065684507158963,2007-02-02,2007-02-06,4 days,,489.2604363024863,482.16827923359125,487.79896809112466,484.60972569514433,12.42226918846635,10.969897417096155
-1,621,654,473.82,463.55,526.3294870854808,,10.269999999999982,0.02167489764045416,2007-02-07,2007-03-27,48 days,,479.736623386873,457.5851393522451,483.2824779046767,456.6091528745142,9.169931611397454,7.213759815005319
-2,631,654,478.69,463.55,530.7094870854808,,30.279999999999973,0.03162798470826633,2007-02-22,2007-03-27,33 days,,471.1431043455502,457.5851393522451,474.12152247419334,456.6091528745142,9.243645107793037,7.213759815005319
-4,632,654,475.75,463.55,530.6994870854808,,48.799999999999955,0.02564372044140828,2007-02-23,2007-03-27,32 days,,471.0384834764402,457.5851393522451,473.8032022492667,456.6091528745142,9.212430071862018,7.213759815005319
2,654,660,463.55,472.14,410.15051291451925,,17.17999999999995,0.018530902815230288,2007-03-27,2007-04-04,8 days,,457.5851393522451,463.4089568503549,456.6091528745142,460.05622380178517,7.213759815005319,7.889795100357126
4,655,660,461.87,472.14,408.77051291451926,,41.07999999999993,0.022235694026457642,2007-03-28,2007-04-04,7 days,,458.4441114817961,463.4089568503549,457.0883207950129,460.05622380178517,6.572506543336885,7.889795100357126
8,656,660,464.55,472.14,407.03051291451925,,60.7199999999998,0.0163383919922504,2007-03-29,2007-04-04,6 days,,458.93928918543685,463.4089568503549,457.4366552681936,460.05622380178517,8.048337695557924,7.889795100357126
1,661,668,471.3,473.8,431.57102449821434,,2.5,0.00530447697856995,2007-04-05,2007-04-17,12 days,,465.02916548028395,468.68727049253084,461.0974761834411,464.95296620193926,6.083196733571408,6.611906347460947
2,663,668,467.09,473.8,428.76102449821434,,13.420000000000073,0.014365539831724172,2007-04-10,2007-04-17,7 days,,465.8322659073817,468.68727049253084,462.17642659788515,464.95296620193926,6.226976326031742,6.611906347460947
4,664,668,466.06,473.8,427.05102449821436,,30.960000000000036,0.016607303780629135,2007-04-11,2007-04-17,6 days,,465.5718127259054,468.68727049253084,462.39038781625925,464.95296620193926,6.41465088402115,6.611906347460947
8,665,668,464.0,473.8,425.08102449821433,,78.40000000000009,0.02112068965517233,2007-04-12,2007-04-17,5 days,,465.9354501807243,468.68727049253084,462.8448980147811,464.95296620193926,6.196433922680764,6.611906347460947
1,669,684,471.26,466.15,439.7404682626953,,-5.110000000000014,-0.010843271230318696,2007-04-18,2007-05-09,21 days,,470.15181639402465,470.283593644641,465.95815109267204,470.5116710203603,7.864604231640634,6.71624112146398
2,671,684,490.52,466.15,438.59046826269525,,-48.74000000000001,-0.049681970154122124,2007-04-20,2007-05-09,19 days,,472.85716249217575,470.283593644641,467.9305380931174,470.5116710203603,13.192046325173626,6.71624112146398
4,678,684,472.19,466.15,438.3204682626953,,-24.160000000000082,-0.012791461064402099,2007-05-01,2007-05-09,8 days,,474.54218278747913,470.283593644641,471.78883557450047,470.5116710203603,7.933590274175683,6.71624112146398
8,679,684,468.65,466.15,435.9404682626953,,-20.0,-0.00533447135388887,2007-05-02,2007-05-09,7 days,,472.7897462299833,470.283593644641,471.24257779500044,470.5116710203603,7.07239351611711,6.71624112146398
-1,685,694,467.04,480.82,502.83120560731993,,-13.779999999999973,-0.029504967454607733,2007-05-10,2007-05-23,13 days,,468.5208749157128,470.8090305146392,469.6897009276003,469.84996634336716,7.300827414309329,8.748673659306318
-2,690,694,472.46,480.82,506.19120560731994,,-16.720000000000027,-0.017694619650340693,2007-05-17,2007-05-23,6 days,,467.48013309238075,470.8090305146392,468.44486872332385,469.84996634336716,7.692660400238268,8.748673659306318
-4,691,694,472.03,480.82,504.54120560731985,,-35.16000000000008,-0.018621697773446577,2007-05-18,2007-05-23,5 days,,468.0481064739046,470.8090305146392,468.6153352030217,469.84996634336716,6.111773600158841,8.748673659306318
1,695,737,475.15,516.98,430.22663170346846,,41.83000000000004,0.08803535725560363,2007-05-24,2007-07-25,62 days,,471.51322441171135,527.1331949293467,470.2572421303338,529.5161401104334,8.399115772870875,13.286292969022526
-2,737,742,516.98,510.5,557.7433682965316,,12.960000000000036,0.012534334016789828,2007-07-25,2007-08-01,7 days,,527.1331949293467,517.0139813144484,529.5161401104334,522.849218887454,13.286292969022526,10.170252572052368
-4,738,742,508.74,510.5,553.5033682965316,,-7.039999999999964,-0.003459527459999112,2007-07-26,2007-08-01,6 days,,523.3065559434774,517.0139813144484,527.5601273731213,522.849218887454,13.427528646015029,10.170252572052368
-8,739,742,508.53,510.5,551.7433682965316,,-15.760000000000218,-0.00387391107702606,2007-07-27,2007-08-01,5 days,,521.0232447547819,517.0139813144484,526.1355703392012,522.849218887454,12.658352430676686,10.170252572052368
-1,743,766,513.72,523.4,563.7912628602619,,-9.67999999999995,-0.01884294946663534,2007-08-02,2007-09-05,34 days,,515.8131850515588,516.7447709059718,521.7729262613218,514.1700782203587,8.776835048034915,8.167695534817033
-2,747,766,519.34,523.4,566.8712628602618,,-8.11999999999989,-0.007817614664766603,2007-08-08,2007-09-05,28 days,,515.7834805971185,516.7447709059718,519.4950237424505,514.1700782203587,9.53665877492047,8.167695534817033
-4,748,766,520.8,523.4,576.6312628602618,,-10.400000000000091,-0.004992319508448695,2007-08-09,2007-09-05,27 days,,515.5727844776948,516.7447709059718,519.0618397658641,514.1700782203587,10.421105849946999,8.167695534817033
1,767,772,529.36,524.06,486.96152232591476,,-5.300000000000068,-0.010012090071029323,2007-09-06,2007-09-13,7 days,,518.0998167247774,520.309091944375,515.020071109417,517.2439512386866,9.308463689878034,7.3512380167740865
2,768,772,517.86,524.06,482.6815223259148,,12.399999999999864,0.011972347738770983,2007-09-07,2007-09-13,6 days,,518.3498533798219,520.309091944375,515.4137010085609,517.2439512386866,8.445642459918698,7.3512380167740865
4,769,772,521.28,524.06,478.5115223259148,,11.11999999999989,0.0053330263965623015,2007-09-10,2007-09-13,3 days,,517.5758827038575,520.309091944375,515.3288190986917,517.2439512386866,9.360428306612484,7.3512380167740865
8,770,772,516.99,524.06,473.6415223259148,,56.55999999999949,0.013675312868720813,2007-09-11,2007-09-13,2 days,,518.326706163086,520.309091944375,515.8743809988107,517.2439512386866,8.630285537741642,7.3512380167740865
1,773,818,523.2,633.94,488.02380991612955,,110.74000000000001,0.21165902140672777,2007-09-14,2007-11-16,63 days,,521.9972735555,657.7917710679968,518.2899556715332,661.5580195819712,7.584158677849376,27.52296922194202
